HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000235054.4,0,0,0,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0,0,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0,0,0,0
ENSG00000196581.11,11,16,21,6,1,8,1,15,9,8
ENSG00000287586.1,32,61,76,61,18,25,32,63,16,33
ENSG00000284739.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0,0,0
ENSG00000284616.1,1,0,0,0,0,0,0,0,0,0
ENSG00000284692.2,1,0,0,0,0,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,2,0,9,11,0,0,2,4,2,0
ENSG00000264341.1,1,0,0,0,0,0,0,0,0,0
ENSG00000289893.1,0,0,1,0,2,0,0,0,0,0
ENSG00000264101.1,0,0,0,0,0,0,0,0,0,0
ENSG00000131697.18,217,194,184,142,230,250,180,295,288,301
ENSG00000069424.16,4537,2880,5268,2772,5490,4483,1588,4483,4628,4769
ENSG00000116254.18,7,2,4,9,56,9,2,17,8,9
ENSG00000285629.1,0,0,0,0,0,0,0,0,0,0
ENSG00000116251.11,1692,1303,1687,1854,1329,1584,2110,1783,1723,1417
ENSG00000226944.1,0,0,1,0,0,0,0,1,2,0
ENSG00000158286.13,46,37,40,27,31,69,108,98,96,97
ENSG00000116237.16,386,319,313,232,482,392,434,433,418,481
ENSG00000225077.3,0,0,1,2,2,0,0,2,1,0
ENSG00000173673.9,0,0,0,0,0,0,0,0,0,0
ENSG00000158292.7,91,32,45,18,116,54,25,19,40,48
ENSG00000097021.21,103,85,83,103,104,106,42,75,75,101
ENSG00000271746.1,1,0,10,1,5,0,5,1,4,2
ENSG00000069812.11,1,0,0,0,0,0,0,4,0,0
ENSG00000187017.18,200,1725,306,1236,752,853,14,508,431,204
ENSG00000265392.1,0,0,0,0,0,0,0,0,6,0
ENSG00000231868.1,0,0,0,0,0,0,0,0,1,0
ENSG00000215788.11,1503,1080,1850,2071,770,1448,717,2190,2466,1821
ENSG00000171680.23,83,59,36,54,59,34,34,83,115,81
ENSG00000162408.11,418,333,492,317,299,351,468,522,614,474
ENSG00000253022.1,0,0,0,0,0,1,0,1,0,0
ENSG00000229519.2,0,5,2,0,1,6,22,7,9,0
ENSG00000173662.21,1,0,15,0,10,0,0,1,1,1
ENSG00000204859.13,610,621,1197,1105,901,739,339,996,864,829
ENSG00000162413.17,1127,1355,1379,1010,1154,1631,547,1315,1691,1272
ENSG00000116273.6,298,250,177,233,375,335,221,205,253,276
ENSG00000041988.16,169,137,243,300,179,171,125,203,228,230
ENSG00000007923.17,374,319,330,141,319,430,431,511,515,500
ENSG00000228750.7,0,0,0,0,0,0,0,0,1,0
ENSG00000284744.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237436.1,3,11,6,13,5,4,1,9,5,7
ENSG00000171735.21,511,235,252,342,157,315,255,191,238,218
ENSG00000227950.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0,0,0,0
ENSG00000237402.1,0,0,0,0,0,1,0,0,0,0
ENSG00000237728.2,0,0,0,0,0,0,0,0,0,0
ENSG00000225126.1,0,0,0,0,0,0,0,0,0,0
ENSG00000270171.1,5,4,0,1,0,0,0,0,1,0
ENSG00000270035.1,10,0,1,0,0,1,0,0,1,5
ENSG00000269978.1,14,1,1,0,0,0,0,3,1,2
ENSG00000049245.13,1766,1617,1340,1106,1525,2031,1890,1705,1165,1239
ENSG00000269925.1,17,17,21,2,18,42,60,46,22,30
ENSG00000049246.15,98,49,20,22,38,79,172,83,99,94
ENSG00000236266.1,0,4,0,0,0,1,0,0,0,1
ENSG00000049247.14,15,12,4,18,8,19,89,3,8,211
ENSG00000049249.10,328,296,191,119,264,623,164,234,166,202
ENSG00000270330.1,5,2,5,0,3,9,0,11,2,5
ENSG00000116288.13,1135,1358,1699,2055,1472,1435,1369,1144,1304,1153
ENSG00000200344.1,2,2,1,0,1,5,0,2,6,2
ENSG00000284747.1,18,22,18,7,11,17,51,24,18,21
ENSG00000284716.1,0,0,3,0,0,4,2,3,3,1
ENSG00000116285.13,17,5,8,11,13,22,15,12,17,24
ENSG00000238290.1,0,0,1,0,0,0,0,0,0,0
ENSG00000232848.1,0,0,1,1,0,0,2,1,0,0
ENSG00000229305.1,0,0,0,0,0,0,0,0,0,0
ENSG00000288816.1,0,0,0,0,0,0,0,0,0,0
ENSG00000227634.3,0,0,0,0,0,0,0,0,0,0
ENSG00000200975.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162426.16,7,5,8,5,9,4,0,3,14,9
ENSG00000252254.1,0,0,0,0,0,0,2,0,0,0
ENSG00000142599.20,4160,3788,3795,2833,3722,5382,4009,6171,4340,4503
ENSG00000232912.6,85,124,110,138,59,143,131,167,113,138
ENSG00000221083.1,0,0,2,0,0,1,0,0,0,0
ENSG00000270282.1,0,0,2,0,3,0,0,0,0,0
ENSG00000234619.1,0,0,0,0,0,0,0,0,1,0
ENSG00000224315.2,0,0,0,0,0,0,1,0,0,0
ENSG00000222511.2,0,0,0,0,0,0,0,0,0,0
