HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000270171.1,4,0,0,0,0,1,0,1,0,0
ENSG00000270035.1,3,0,0,0,0,0,0,0,0,0
ENSG00000269978.1,2,1,0,0,2,1,1,0,1,1
ENSG00000049245.13,850,438,758,357,1069,930,734,643,806,638
ENSG00000269925.1,12,3,21,4,18,21,6,16,25,36
ENSG00000049246.15,61,18,26,16,47,46,91,32,62,67
ENSG00000236266.1,2,0,0,0,2,0,7,0,2,3
ENSG00000049247.14,0,0,2,4,1,13,42,7,2,73
ENSG00000049249.10,184,81,147,48,251,329,93,112,137,134
ENSG00000270330.1,3,7,2,0,5,6,3,1,5,3
ENSG00000116288.13,706,386,769,454,1032,794,799,675,887,643
ENSG00000200344.1,0,2,1,1,3,5,1,2,0,0
ENSG00000284747.1,11,7,14,6,14,20,18,14,24,12
ENSG00000284716.1,1,0,0,0,1,4,3,1,2,0
ENSG00000116285.13,10,3,6,3,6,5,15,8,8,14
ENSG00000238290.1,0,0,1,0,0,0,0,0,0,0
ENSG00000232848.1,1,0,0,1,0,1,0,0,0,0
ENSG00000229305.1,0,0,0,0,0,0,0,0,0,0
ENSG00000288816.1,0,0,0,0,0,0,0,0,0,0
ENSG00000227634.3,0,0,0,0,0,0,0,0,0,0
ENSG00000200975.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233645.1,0,0,0,0,0,0,0,0,0,0
ENSG00000251977.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162426.16,6,1,9,2,7,13,10,1,8,5
ENSG00000252254.1,0,0,0,0,0,0,1,0,0,1
ENSG00000142599.20,3076,1522,3230,1170,3174,4828,3456,3377,3828,3008
ENSG00000232912.6,37,61,60,34,28,48,35,70,83,68
ENSG00000221083.1,0,0,0,0,0,0,0,0,0,0
ENSG00000270282.1,0,0,1,0,0,0,0,0,4,0
ENSG00000234619.1,0,0,0,0,0,0,0,1,0,0
ENSG00000224315.2,1,0,0,0,0,0,0,0,1,0
ENSG00000222511.2,0,0,0,0,0,0,0,0,0,0
ENSG00000226545.1,1,0,0,0,0,0,0,0,0,0
ENSG00000228423.2,4,0,0,0,0,0,0,0,0,0
ENSG00000229716.2,0,0,0,0,0,0,0,0,0,0
ENSG00000074800.16,4070,2636,4563,2218,7351,5010,4693,4114,4871,3628
ENSG00000274258.1,0,0,0,0,0,0,2,0,0,0
ENSG00000230679.1,2,0,0,0,0,1,0,1,1,0
ENSG00000201725.1,0,0,0,0,0,0,0,0,0,1
ENSG00000238249.2,0,0,5,1,4,0,2,3,7,2
ENSG00000232208.2,15,1,8,1,6,19,32,10,43,33
ENSG00000232663.2,0,2,2,0,0,0,0,0,1,4
ENSG00000131686.15,44,9,29,27,18,25,110,32,90,74
ENSG00000290109.1,16,2,24,8,17,19,42,30,45,35
ENSG00000265141.2,0,0,0,0,0,0,0,0,0,0
ENSG00000197241.4,0,1,0,0,0,0,0,0,0,1
ENSG00000142583.18,40,11,64,6,46,43,46,38,51,31
ENSG00000252404.1,0,0,0,0,0,0,0,0,0,0
ENSG00000180758.12,105,43,91,67,150,160,129,68,134,78
ENSG00000228526.8,2,3,2,5,4,6,6,6,0,3
ENSG00000284357.1,0,0,0,0,0,0,0,0,0,0
ENSG00000289914.1,0,0,0,0,0,0,0,0,0,0
ENSG00000234546.5,0,0,0,0,0,0,3,0,0,0
ENSG00000049239.13,1040,402,1019,281,1060,1023,1153,1047,1197,977
ENSG00000171621.14,58,19,17,11,42,33,52,7,42,15
ENSG00000284652.1,0,0,0,0,0,2,0,0,0,0
ENSG00000284693.2,2,0,0,0,0,1,0,0,0,0
ENSG00000252956.1,0,0,0,0,0,0,0,0,0,0
ENSG00000235263.1,0,0,0,0,0,0,0,0,0,0
ENSG00000171612.7,34,27,29,8,40,41,42,35,36,27
ENSG00000231181.1,0,1,2,0,2,2,0,0,5,0
ENSG00000188807.13,43,16,45,8,77,66,51,54,83,63
ENSG00000171608.18,7179,3910,6997,3272,8661,8667,6856,6127,8738,6537
ENSG00000179840.5,31,19,28,11,27,18,6,31,21,20
ENSG00000233268.3,0,0,5,7,0,1,1,0,0,0
ENSG00000231789.4,6,1,10,1,7,4,5,11,3,3
ENSG00000171603.18,1562,579,1319,376,1839,1424,2067,1184,1903,1359
ENSG00000271264.1,0,0,2,0,3,0,0,0,0,0
ENSG00000280113.2,0,0,0,0,1,0,0,0,0,0
ENSG00000178585.15,167,61,127,54,229,157,171,144,188,123
ENSG00000223989.1,0,0,0,0,0,0,0,0,0,0
ENSG00000285701.1,0,0,0,0,0,0,0,5,0,0
ENSG00000162441.12,246,155,285,152,366,276,354,201,371,283
ENSG00000228150.1,8,0,1,1,1,3,4,3,3,2
ENSG00000173614.14,99,54,129,31,116,150,83,80,122,109
ENSG00000202415.1,1,2,0,3,2,1,0,0,3,3
ENSG00000283611.2,0,0,3,0,2,0,0,6,0,2
ENSG00000265521.1,0,0,0,0,0,1,0,2,0,0
ENSG00000241326.1,0,0,0,0,0,0,0,0,0,0
ENSG00000162444.12,130,79,207,50,147,139,107,155,144,163
ENSG00000130939.20,789,429,870,432,926,969,813,663,1281,799
ENSG00000224340.1,0,0,0,0,0,0,0,0,0,0
ENSG00000233623.2,0,0,2,6,0,4,0,4,1,1
ENSG00000201746.1,2,0,0,0,0,0,0,5,1,0
ENSG00000054523.20,551,352,522,255,1052,1225,607,414,642,547
ENSG00000264881.1,0,0,0,0,0,0,2,0,0,0
ENSG00000199562.1,0,0,0,2,0,0,0,0,0,0
ENSG00000264501.2,0,0,0,0,0,0,0,0,0,0
ENSG00000284735.1,12,2,14,11,27,21,10,18,9,8
ENSG00000284642.1,11,6,7,16,31,16,13,18,11,19
ENSG00000142657.21,3130,1624,3300,1654,4629,3105,1931,2508,2791,2179
ENSG00000271989.1,0,0,1,0,0,0,0,0,0,0
ENSG00000251503.8,1,0,0,0,0,0,6,0,2,0
ENSG00000175279.22,2,2,1,5,8,4,1,3,1,3
ENSG00000241563.4,0,0,2,2,0,2,2,0,6,2
ENSG00000160049.12,251,99,272,70,257,261,322,208,360,256
ENSG00000203469.2,0,0,0,0,0,0,0,0,0,0
ENSG00000142655.13,124,30,141,40,153,128,146,114,197,126
ENSG00000287727.1,3,0,0,0,0,16,3,1,7,5
ENSG00000243267.3,0,0,0,0,0,6,0,0,6,2
ENSG00000130940.15,103,36,77,22,136,109,152,65,109,114
ENSG00000272078.1,12,2,14,1,5,12,11,6,13,9
ENSG00000225158.2,0,0,0,0,0,0,0,0,0,0
ENSG00000175262.15,8,3,8,0,17,4,7,17,6,4
ENSG00000215785.2,0,1,0,0,0,0,0,0,2,0
ENSG00000120948.19,1375,645,1223,573,1277,1589,1683,1276,2050,1483
ENSG00000009724.18,145,44,88,46,176,160,225,146,230,170
ENSG00000116649.10,221,93,266,109,275,222,354,231,290,240
ENSG00000230337.4,16,12,29,3,19,22,30,14,26,29
ENSG00000171824.14,440,148,405,150,466,525,593,420,747,480
ENSG00000198793.14,705,253,660,240,874,921,1062,635,1160,799
ENSG00000225602.5,0,0,0,0,0,0,0,1,0,0
ENSG00000253086.1,0,0,0,0,0,0,0,0,0,0
ENSG00000171819.5,0,0,0,0,0,0,0,0,0,0
ENSG00000207451.1,0,0,0,0,0,0,0,0,0,0
ENSG00000238173.1,1,2,0,0,1,0,0,0,0,0
ENSG00000120942.14,223,104,174,67,208,237,362,174,302,230
ENSG00000238199.1,0,0,1,0,2,2,0,1,11,1
